,Source,Target,Weight
2,Comedy,Romance,12
3,Romance,Comedy,12
4,Comedy,Drama,63
5,Drama,Comedy,63
12,Crime,Drama,105
13,Crime,Mystery,33
14,Drama,Crime,105
15,Drama,Mystery,59
16,Mystery,Crime,33
17,Mystery,Drama,59
18,Action,Adventure,62
19,Action,Animation,40
20,Adventure,Action,62
21,Adventure,Animation,36
22,Animation,Action,40
23,Animation,Adventure,36
24,Action,Drama,62
25,Adventure,Drama,30
26,Drama,Action,62
27,Drama,Adventure,30
28,Action,Crime,29
29,Crime,Action,29
32,Crime,Thriller,17
33,Drama,Thriller,28
34,Thriller,Crime,17
35,Thriller,Drama,28
36,Comedy,Crime,16
37,Crime,Comedy,16
39,Drama,Sci-Fi,23
41,Sci-Fi,Drama,23
42,Drama,Fantasy,34
43,Fantasy,Drama,34
49,Drama,History,11
51,History,Drama,11
54,Mystery,Sci-Fi,11
55,Sci-Fi,Mystery,11
56,Action,Comedy,14
57,Adventure,Comedy,13
58,Comedy,Action,14
59,Comedy,Adventure,13
72,Drama,Romance,19
73,Romance,Drama,19
75,Drama,Horror,18
77,Horror,Drama,18
108,Animation,Comedy,14
109,Comedy,Animation,14
116,Fantasy,Horror,10
117,Horror,Fantasy,10
