Id,Source,Target,Weight
0,Action,Crime,161
1,Action,Drama,299
2,Crime,Action,161
3,Crime,Drama,540
4,Drama,Action,299
5,Drama,Crime,540
6,Action,Mystery,14
7,Drama,Mystery,316
8,Mystery,Action,14
9,Mystery,Drama,316
10,Comedy,Drama,496
11,Drama,Comedy,496
12,Action,Fantasy,35
13,Action,Sci-Fi,41
14,Fantasy,Action,35
15,Fantasy,Sci-Fi,10
16,Sci-Fi,Action,41
17,Sci-Fi,Fantasy,10
18,Comedy,Family,138
19,Family,Comedy,138
20,Animation,Comedy,266
21,Comedy,Animation,266
22,Action,Adventure,337
23,Adventure,Action,337
24,Adventure,Drama,114
25,Drama,Adventure,114
26,Animation,Sci-Fi,12
27,Comedy,Sci-Fi,27
28,Sci-Fi,Animation,12
29,Sci-Fi,Comedy,27
32,Action,Comedy,114
33,Comedy,Action,114
34,Adventure,Comedy,128
35,Comedy,Adventure,128
36,Animation,Family,34
37,Family,Animation,34
38,Comedy,Fantasy,79
39,Comedy,Romance,208
40,Fantasy,Comedy,79
41,Fantasy,Romance,20
42,Romance,Comedy,208
43,Romance,Fantasy,20
44,Animation,Drama,109
45,Drama,Animation,109
46,Adventure,Animation,292
47,Animation,Adventure,292
48,Action,Animation,305
49,Animation,Action,305
50,Drama,Romance,260
51,Romance,Drama,260
52,Comedy,Talk-Show,50
53,Talk-Show,Comedy,50
54,Comedy,Mystery,25
55,Mystery,Comedy,25
56,Game-Show,Reality-TV,52
57,Reality-TV,Game-Show,52
58,Adventure,Crime,25
59,Crime,Adventure,25
60,Crime,Mystery,208
61,Mystery,Crime,208
62,Drama,History,91
63,History,Drama,91
64,History,Romance,14
65,Romance,History,14
67,Comedy,Reality-TV,34
69,Reality-TV,Comedy,34
70,Comedy,Crime,108
71,Crime,Comedy,108
72,Drama,Family,74
73,Family,Drama,74
74,Drama,Fantasy,172
75,Fantasy,Drama,172
80,Fantasy,Mystery,22
81,Mystery,Fantasy,22
82,Drama,Thriller,201
83,Thriller,Drama,201
84,Adventure,Family,15
86,Family,Adventure,15
90,Animation,Horror,14
91,Comedy,Horror,30
92,Horror,Animation,14
93,Horror,Comedy,30
94,Drama,Sci-Fi,114
95,Romance,Sci-Fi,12
96,Sci-Fi,Drama,114
97,Sci-Fi,Romance,12
98,Animation,Crime,15
99,Crime,Animation,15
100,Comedy,Music,35
101,Music,Comedy,35
104,Family,Fantasy,10
105,Fantasy,Family,10
109,News,Talk-Show,11
112,Talk-Show,News,11
117,Drama,Reality-TV,13
119,Reality-TV,Drama,13
120,Animation,Fantasy,28
121,Fantasy,Animation,28
122,Adventure,Mystery,13
123,Mystery,Adventure,13
124,Drama,Horror,94
125,Fantasy,Horror,45
126,Horror,Drama,94
127,Horror,Fantasy,45
132,Mystery,Sci-Fi,23
133,Sci-Fi,Mystery,23
134,Drama,Music,30
135,Music,Drama,30
141,Drama,War,24
143,War,Drama,24
144,Comedy,Game-Show,17
145,Game-Show,Comedy,17
148,Comedy,Documentary,20
149,Documentary,Comedy,20
154,Comedy,History,17
155,History,Comedy,17
156,Comedy,Short,11
157,Short,Comedy,11
160,Crime,Thriller,113
161,Thriller,Crime,113
162,Biography,Crime,12
163,Biography,Drama,42
164,Crime,Biography,12
165,Drama,Biography,42
166,Crime,Fantasy,27
167,Fantasy,Crime,27
172,Biography,History,24
173,History,Biography,24
174,Comedy,Musical,12
175,Musical,Comedy,12
178,Crime,Romance,11
179,Romance,Crime,11
180,Comedy,Sport,13
182,Sport,Comedy,13
184,Comedy,Thriller,14
185,Thriller,Comedy,14
190,Animation,Romance,23
191,Romance,Animation,23
192,Crime,Documentary,18
193,Documentary,Crime,18
196,Adventure,Reality-TV,13
197,Reality-TV,Adventure,13
204,Horror,Mystery,41
206,Mystery,Horror,41
207,Mystery,Thriller,53
209,Thriller,Mystery,53
210,Sci-Fi,Thriller,17
211,Thriller,Sci-Fi,17
212,Action,Thriller,40
213,Thriller,Action,40
214,Adventure,Sci-Fi,14
215,Sci-Fi,Adventure,14
222,Adventure,Fantasy,16
223,Fantasy,Adventure,16
226,Action,Romance,14
227,Romance,Action,14
230,Reality-TV,Romance,13
231,Romance,Reality-TV,13
232,Adventure,Documentary,15
233,Documentary,Adventure,15
246,Documentary,Reality-TV,27
247,Reality-TV,Documentary,27
248,Mystery,Romance,15
249,Romance,Mystery,15
250,Action,Horror,12
251,Horror,Action,12
256,Documentary,History,15
258,History,Documentary,15
278,Drama,Sport,20
279,Sport,Drama,20
294,Crime,History,10
295,History,Crime,10
320,Action,History,14
321,History,Action,14
330,Documentary,Sport,11
331,Sport,Documentary,11
