	tconst	directors	producers	writers
0	tt0160904	nm0001994,nm1168446,nm0149491,nm0355542,nm1142073,nm0047458,nm0391905,nm0534850,nm0322533,nm0933002,nm0387486,nm0132600,nm0522634,nm1012772,nm0000944,nm0777447,nm0589284,nm0006624,nm0620576,nm0726975,nm0536827,nm0801065,nm0066596,nm0912085,nm1016595		nm0938727,nm1522142,nm0107623,nm3122514,nm3123004,nm1016333,nm0189232,nm1308632,nm0910361,nm1906409,nm0564386,nm0819961,nm4403808,nm0801065,nm1645827,nm0507714,nm1231249,nm1825199,nm2393111,nm3684624,nm1201711,nm0624789,nm0592535,nm0047553,nm0334213
1	tt0204993	nm0941276,nm0638354,nm0518910,nm0506461,nm0002413,nm0942869,nm0931724,nm0641343,nm0027413,nm0283943,nm0003150,nm0926215,nm0142286,nm0163892,nm0176448,nm0319412,nm0470971,nm0788610,nm0484464,nm0545763,nm0722493,nm0818465,nm0082376,nm0066736,nm0000116,nm0471862,nm0833191,nm0343622		nm0000116,nm0251050,nm0596711,nm0215277,nm0248404,nm0951390,nm0250668,nm0029556,nm1201266,nm0361927,nm0202997,nm1922620,nm0799562,nm0860799,nm1266000,nm0066985,nm0343554,nm0423715
2	tt0205700	nm0793727,nm0005344,nm0005601,nm0578162,nm7919195,nm2114888,nm0448579,nm0614975,nm0362987,nm0504297,nm1390182,nm0497115,nm0025127,nm0790255,nm0075669,nm0155117		nm0362987,nm0448579,nm0864541,nm2196335,nm0604389,nm0576761,nm1042586,nm0143191,nm0394001,nm0792148,nm0487522,nm0279574,nm0608565,nm0256079,nm0824780,nm0859514,nm0041927,nm0004277,nm0128730,nm0742277,nm0766982,nm0796121,nm0858769
3	tt0206476	nm0779830,nm0481910,nm0581238,nm0336259,nm0944981,nm1074029,nm0561703,nm0414910		nm0829739,nm0849964,nm0255296,nm0085220,nm0526196,nm0779830,nm0035952,nm0046042,nm1250323,nm0287986,nm0642332,nm0779321,nm0833971,nm0938535,nm0900599,nm0086652,nm0277894,nm0289210,nm0582738
4	tt0206511	nm0000625,nm0743093,nm0573732,nm0049975,nm0388505,nm0934912,nm0447583,nm0211854,nm2705478,nm0213127,nm0381416,nm0333335,nm0390822,nm0314480,nm0825731,nm0387725,nm0147882,nm0675950,nm0239311,nm0411477,nm0727760,nm0112335,nm0912940,nm0509183		nm0355125,nm0605167,nm0887455,nm2667316,nm0277839,nm0453922,nm2457147,nm0271003,nm1353295,nm0435133,nm1852141,nm0805610,nm1061400,nm0213127,nm1202354,nm0897860,nm0912940,nm0121979,nm0727760,nm0112335,nm0573732
5	tt0210413	nm0521425,nm0047193,nm1006989		nm0541635,nm0608714,nm0003620,nm0227704,nm0382769,nm0445877,nm0447583
6	tt0212671	nm0390844,nm0578162,nm0477129,nm0195913,nm0490792,nm0410521,nm0919660,nm0522427,nm0186505,nm0800702,nm0095450,nm0343622,nm0762541,nm0044803,nm0717155,nm0462277,nm0545763,nm0828276,nm0137978,nm0557733		nm0095450,nm0323068,nm0123983,nm0614269,nm1545970,nm0465732,nm0717155,nm0051794,nm0649699,nm0860544,nm0485027,nm0383322,nm0880436,nm0137978,nm0096940,nm0438235,nm0451274,nm0828276,nm0724491,nm0463124,nm1754514,nm1753285,nm1052109,nm0360453,nm1807216,nm0024856,nm0066764,nm0833959,nm1164853,nm1162920,nm0137180,nm1841013,nm0693612,nm0148180,nm1510585
7	tt0212686	nm0853393,nm0757084,nm0282708,nm0528720,nm0879245,nm0444848,nm0386411,nm0124834		nm0282041,nm0528720,nm0545387,nm0804233
8	tt0213327	nm0877427,nm0217938,nm0283157,nm0817878,nm0471862,nm0363473,nm0197703,nm0003941,nm0247621,nm0894166,nm0599624,nm0733227,nm0737517,nm0578899,nm0939869,nm0781843,nm0931426,nm0913143,nm0779830,nm0693225		nm0734472,nm0938129,nm1005420,nm0826714,nm0452514,nm0718234,nm0053426,nm0053449,nm0889576,nm0257306,nm0418434,nm0804662,nm0924095,nm0941315,nm1135607,nm1698582,nm1140282,nm0583580,nm0008010,nm0296567,nm0395741,nm0456497,nm0940994,nm1949279,nm1005170,nm1005417,nm0144372,nm1072185,nm0582738,nm0583397,nm0784682
9	tt0219446	nm0588818,nm1016094,nm0999575,nm0429262,nm0395031,nm0949906,nm0453606,nm0909088,nm0565444,nm0418480		nm0724842,nm0643418,nm0118420,nm0813561,nm0225272,nm1223280,nm0474629
10	tt0220008	nm0335489		nm0008926,nm0591160,nm0627159,nm0639634
11	tt0220238	nm0799026,nm0176448,nm0636165,nm0320987,nm0944981,nm0124991,nm0198642,nm0252135,nm0864879,nm0256357,nm0343687,nm0337675,nm0002413,nm0632382,nm0697227,nm0004223,nm0058018,nm0322106,nm0398986,nm0939869,nm0941276,nm0203215		nm0799026,nm0322106,nm0506032,nm1757228,nm0649870,nm0822748,nm0921298,nm0401765,nm0082811,nm0076965,nm0991344,nm0239229,nm0300081,nm0338557,nm0991356,nm1149501,nm0701487,nm0920229,nm0040022,nm1003826,nm0606520,nm1113993
12	tt0220261	nm0535234,nm0773108,nm0797136,nm0423804,nm0269209,nm0282425,nm0649117		nm0861728,nm0358530,nm1122008,nm1008406,nm0350468,nm0861729,nm0771055,nm0759112,nm0418736,nm0421408,nm0647746
13	tt0220906	nm0368124,nm0344408,nm0065471,nm0336259,nm0403628,nm0481910,nm1074029		nm0606520,nm0086652,nm0476064,nm0649460,nm0710378,nm0035952,nm0046042,nm2920089,nm0178769,nm0287986,nm1297559,nm0415110,nm0415111,nm2917892,nm0470425,nm2274161,nm2051672,nm0583363,nm0909738
14	tt0233041	nm0653797		nm0041143,nm1434696,nm0114180,nm0287149,nm1159174,nm1622245,nm0571066,nm0674902,nm1093722,nm0842468,nm0743361,nm0370081,nm0349843,nm0065506,nm0833666,nm1115084,nm0319175,nm0140105,nm0572397,nm1085846,nm1587020,nm0365533,nm0905173,nm0382655,nm0382614,nm0848091,nm0188349,nm2715080,nm0783889,nm0824900,nm0363393,nm2862098,nm0578859,nm2008887,nm0465576,nm1646429
15	tt0233084	nm0835156		nm0578889,nm0562687,nm0142627,nm1633145,nm0018661,nm0104090,nm0263280,nm0801703,nm0493215,nm0679810,nm0006396,nm0376835,nm2163353,nm0813442
